time,container_id,cpu,memory
2024-04-17 13:45:06.085952,mycri_2,0.00%,0.00%
2024-04-17 13:45:07.119392,mycri_2,0.00%,0.00%
2024-04-17 13:45:08.151678,mycri_2,0.00%,0.00%
2024-04-17 13:45:09.182626,mycri_2,0.00%,0.00%
2024-04-17 13:45:10.215046,mycri_2,0.00%,0.00%
2024-04-17 13:45:11.245968,mycri_2,134.99%,0.08%
2024-04-17 13:45:12.278176,mycri_2,118.64%,0.59%
2024-04-17 13:45:13.313298,mycri_2,109.27%,1.05%
2024-04-17 13:45:14.345996,mycri_2,107.15%,3.39%
2024-04-17 13:45:15.380125,mycri_2,109.34%,4.33%
2024-04-17 13:45:16.428093,mycri_2,128.59%,5.20%
2024-04-17 13:45:17.462835,mycri_2,139.40%,5.59%
2024-04-17 13:45:18.500511,mycri_2,147.19%,5.79%
2024-04-17 13:45:19.546018,mycri_2,154.63%,5.63%
2024-04-17 13:45:20.581162,mycri_2,158.75%,5.79%
2024-04-17 13:45:21.630454,mycri_2,163.55%,5.84%
2024-04-17 13:45:22.665117,mycri_2,166.28%,5.87%
2024-04-17 13:45:23.703517,mycri_2,168.91%,5.81%
2024-04-17 13:45:24.741913,mycri_2,171.65%,6.06%
2024-04-17 13:45:25.776935,mycri_2,173.10%,5.96%
2024-04-17 13:45:26.824659,mycri_2,175.28%,6.01%
2024-04-17 13:45:27.860064,mycri_2,176.59%,5.95%
2024-04-17 13:45:28.895957,mycri_2,177.63%,6.11%
2024-04-17 13:45:29.936308,mycri_2,179.30%,5.95%
2024-04-17 13:45:30.971963,mycri_2,179.90%,6.17%
2024-04-17 13:45:32.013209,mycri_2,180.78%,5.89%
2024-04-17 13:45:33.053992,mycri_2,181.88%,6.02%
2024-04-17 13:45:34.087545,mycri_2,182.35%,6.00%
2024-04-17 13:45:35.126744,mycri_2,183.48%,6.12%
2024-04-17 13:45:36.159662,mycri_2,183.97%,6.09%
2024-04-17 13:45:37.193786,mycri_2,184.32%,6.28%
2024-04-17 13:45:38.238853,mycri_2,185.26%,6.16%
2024-04-17 13:45:39.270877,mycri_2,185.55%,6.22%
2024-04-17 13:45:40.310343,mycri_2,186.12%,6.25%
2024-04-17 13:45:41.350718,mycri_2,186.61%,6.25%
2024-04-17 13:45:42.386075,mycri_2,186.81%,6.32%
2024-04-17 13:45:43.434537,mycri_2,187.50%,6.35%
2024-04-17 13:45:44.469304,mycri_2,187.65%,6.26%
2024-04-17 13:45:45.511946,mycri_2,187.94%,6.27%
2024-04-17 13:45:46.548969,mycri_2,188.42%,6.24%
2024-04-17 13:45:47.584187,mycri_2,188.53%,6.17%
2024-04-17 13:45:48.629428,mycri_2,189.08%,6.29%
2024-04-17 13:45:49.667038,mycri_2,189.19%,6.37%
2024-04-17 13:45:50.703235,mycri_2,189.41%,6.43%
2024-04-17 13:45:51.739991,mycri_2,189.84%,6.43%
2024-04-17 13:45:52.775708,mycri_2,189.89%,6.44%
2024-04-17 13:45:53.831858,mycri_2,190.31%,6.44%
2024-04-17 13:45:54.868432,mycri_2,190.35%,6.44%
2024-04-17 13:45:55.910795,mycri_2,190.56%,6.45%
2024-04-17 13:45:56.950716,mycri_2,190.78%,6.49%
2024-04-17 13:45:57.991648,mycri_2,190.82%,6.49%
2024-04-17 13:45:59.032608,mycri_2,191.21%,6.47%
2024-04-17 13:46:00.071888,mycri_2,191.22%,6.47%
2024-04-17 13:46:01.751236,mycri_2,191.16%,6.48%
2024-04-17 13:46:13.181751,mycri_2,0.00%,0.00%
2024-04-17 13:46:14.237139,mycri_2,2.51%,7.24%
2024-04-17 13:46:15.269946,mycri_2,5.59%,7.18%
2024-04-17 13:46:16.314435,mycri_2,8.68%,7.19%
2024-04-17 13:46:17.352926,mycri_2,11.72%,7.19%
2024-04-17 13:46:18.386437,mycri_2,14.51%,7.30%
2024-04-17 13:46:19.430360,mycri_2,17.45%,7.30%
2024-04-17 13:46:20.464923,mycri_2,20.09%,7.32%
2024-04-17 13:46:21.505106,mycri_2,22.67%,7.32%
2024-04-17 13:46:22.547654,mycri_2,25.34%,7.16%
2024-04-17 13:46:23.582317,mycri_2,27.74%,7.18%
2024-04-17 13:46:24.636420,mycri_2,30.32%,7.15%
2024-04-17 13:46:25.676783,mycri_2,32.56%,7.13%
2024-04-17 13:46:26.725723,mycri_2,34.99%,7.21%
2024-04-17 13:46:27.762735,mycri_2,37.14%,7.23%
2024-04-17 13:46:28.808224,mycri_2,39.28%,7.24%
2024-04-17 13:46:29.845258,mycri_2,41.46%,7.27%
2024-04-17 13:46:30.881124,mycri_2,43.41%,7.27%
2024-04-17 13:46:31.929363,mycri_2,45.53%,7.20%
2024-04-17 13:46:32.963624,mycri_2,47.40%,7.32%
2024-04-17 13:46:34.008026,mycri_2,49.24%,7.03%
2024-04-17 13:46:35.044735,mycri_2,51.21%,7.16%
2024-04-17 13:46:36.076030,mycri_2,52.93%,7.23%
2024-04-17 13:46:37.119632,mycri_2,54.77%,7.23%
2024-04-17 13:46:38.154412,mycri_2,56.47%,7.08%
2024-04-17 13:46:39.185870,mycri_2,58.07%,7.09%
2024-04-17 13:46:40.229115,mycri_2,59.84%,7.21%
2024-04-17 13:46:41.263992,mycri_2,61.36%,7.31%
2024-04-17 13:46:42.298858,mycri_2,62.86%,7.27%
2024-04-17 13:46:43.340580,mycri_2,64.50%,7.26%
2024-04-17 13:46:44.373887,mycri_2,65.93%,7.15%
2024-04-17 13:46:45.420045,mycri_2,67.44%,7.11%
2024-04-17 13:46:46.456314,mycri_2,68.87%,7.16%
2024-04-17 13:46:47.495014,mycri_2,70.20%,7.18%
2024-04-17 13:46:48.538473,mycri_2,71.68%,7.21%
2024-04-17 13:46:49.577474,mycri_2,72.95%,7.24%
2024-04-17 13:46:50.627164,mycri_2,74.35%,7.21%
2024-04-17 13:46:51.670354,mycri_2,75.60%,7.21%
2024-04-17 13:46:52.725859,mycri_2,76.93%,7.21%
2024-04-17 13:46:53.762615,mycri_2,78.13%,7.16%
2024-04-17 13:46:54.801627,mycri_2,79.31%,7.17%
