time,container_id,cpu,memory
2024-04-17 15:13:15.572245,mycri_2,0.00%,0.00%
2024-04-17 15:13:16.607927,mycri_2,0.00%,0.00%
2024-04-17 15:13:17.645816,mycri_2,0.00%,0.00%
2024-04-17 15:13:18.678024,mycri_2,0.00%,0.00%
2024-04-17 15:13:19.712124,mycri_2,0.00%,0.00%
2024-04-17 15:13:20.743810,mycri_2,135.38%,0.08%
2024-04-17 15:13:21.777169,mycri_2,116.84%,0.70%
2024-04-17 15:13:22.812109,mycri_2,108.67%,2.29%
2024-04-17 15:13:23.845152,mycri_2,106.30%,3.47%
2024-04-17 15:13:24.878707,mycri_2,117.14%,5.19%
2024-04-17 15:13:25.929966,mycri_2,134.89%,5.46%
2024-04-17 15:13:26.965156,mycri_2,144.52%,5.55%
2024-04-17 15:13:27.999938,mycri_2,151.57%,5.64%
2024-04-17 15:13:29.041218,mycri_2,158.60%,5.61%
2024-04-17 15:13:30.074697,mycri_2,162.37%,5.80%
2024-04-17 15:13:31.111697,mycri_2,166.15%,5.74%
2024-04-17 15:13:32.152199,mycri_2,169.41%,5.96%
2024-04-17 15:13:33.184153,mycri_2,171.32%,6.19%
2024-04-17 15:13:34.228710,mycri_2,174.23%,6.06%
2024-04-17 15:13:35.264610,mycri_2,175.62%,5.82%
2024-04-17 15:13:36.299557,mycri_2,177.01%,6.16%
2024-04-17 15:13:37.341007,mycri_2,178.90%,6.22%
2024-04-17 15:13:38.373960,mycri_2,179.70%,6.17%
2024-04-17 15:13:39.417915,mycri_2,180.77%,5.94%
2024-04-17 15:13:40.454092,mycri_2,181.91%,6.17%
2024-04-17 15:13:41.486758,mycri_2,182.46%,6.12%
2024-04-17 15:13:42.531410,mycri_2,183.54%,6.19%
2024-04-17 15:13:43.568556,mycri_2,184.12%,6.28%
2024-04-17 15:13:44.606721,mycri_2,184.78%,6.26%
2024-04-17 15:13:45.648290,mycri_2,185.52%,6.06%
2024-04-17 15:13:46.683806,mycri_2,185.80%,6.17%
2024-04-17 15:13:47.734232,mycri_2,186.63%,6.28%
2024-04-17 15:13:48.768891,mycri_2,186.86%,6.32%
2024-04-17 15:13:49.814490,mycri_2,187.27%,6.33%
2024-04-17 15:13:50.850665,mycri_2,187.82%,6.29%
2024-04-17 15:13:51.885588,mycri_2,187.98%,6.21%
2024-04-17 15:13:52.931283,mycri_2,188.64%,6.10%
2024-04-17 15:13:53.967646,mycri_2,188.77%,6.18%
2024-04-17 15:13:55.002634,mycri_2,189.04%,6.13%
2024-04-17 15:13:56.044278,mycri_2,189.49%,6.22%
2024-04-17 15:13:57.078218,mycri_2,189.59%,6.16%
2024-04-17 15:13:58.128406,mycri_2,190.05%,6.26%
2024-04-17 15:13:59.162169,mycri_2,190.19%,6.18%
2024-04-17 15:14:00.200569,mycri_2,190.23%,6.28%
2024-04-17 15:14:01.242659,mycri_2,190.72%,6.33%
2024-04-17 15:14:02.279738,mycri_2,190.74%,6.31%
2024-04-17 15:14:03.317735,mycri_2,191.06%,6.24%
2024-04-17 15:14:04.353376,mycri_2,191.25%,6.33%
