time,cpu,memory,io_read,io_write
2024-04-17 15:13:15.573127,23.5,13.0,5643045376,59036145152
2024-04-17 15:13:16.608492,1.6,13.0,5643045376,59036145152
2024-04-17 15:13:17.646538,1.2,13.0,5643045376,59036145152
2024-04-17 15:13:18.678580,1.1,13.0,5643045376,59036227072
2024-04-17 15:13:19.712908,1.6,13.0,5643045376,59036263936
2024-04-17 15:13:20.744359,5.2,13.1,5643045376,59036378624
2024-04-17 15:13:21.777784,15.5,13.7,5643045376,59036382720
2024-04-17 15:13:22.812711,13.9,15.4,5643045376,59036542464
2024-04-17 15:13:23.845734,13.6,16.5,5643045376,59036542464
2024-04-17 15:13:24.879312,20.2,18.3,5643045376,59036542464
2024-04-17 15:13:25.930684,27.5,18.5,5643045376,59036542464
2024-04-17 15:13:26.965891,25.2,18.6,5643045376,59036542464
2024-04-17 15:13:28.000659,26.3,18.7,5643045376,59036567040
2024-04-17 15:13:29.041876,28.3,18.7,5643045376,59036567040
2024-04-17 15:13:30.075287,25.2,18.9,5643045376,59036567040
2024-04-17 15:13:31.112330,27.0,18.8,5643045376,59036567040
2024-04-17 15:13:32.152790,26.1,19.0,5643045376,59036567040
2024-04-17 15:13:33.184738,25.2,19.3,5643045376,59036591616
2024-04-17 15:13:34.229400,27.8,19.1,5643045376,59036591616
2024-04-17 15:13:35.265217,26.2,18.9,5643045376,59036591616
2024-04-17 15:13:36.300264,26.2,19.2,5643045376,59036591616
2024-04-17 15:13:37.341614,27.0,19.3,5643045376,59036591616
2024-04-17 15:13:38.374632,25.7,19.2,5643045376,59036616192
2024-04-17 15:13:39.418798,26.7,19.0,5643045376,59036616192
2024-04-17 15:13:40.454709,25.9,19.2,5643045376,59036616192
2024-04-17 15:13:41.487337,25.3,19.2,5643045376,59036616192
2024-04-17 15:13:42.532044,27.8,19.3,5643045376,59036616192
2024-04-17 15:13:43.569159,25.7,19.3,5643045376,59036644864
2024-04-17 15:13:44.607384,26.7,19.3,5643045376,59036644864
2024-04-17 15:13:45.648965,26.2,19.1,5643045376,59036644864
2024-04-17 15:13:46.684446,25.8,19.2,5643045376,59036644864
2024-04-17 15:13:47.734883,27.6,19.3,5643045376,59036644864
2024-04-17 15:13:48.769483,24.9,19.4,5643045376,59036669440
2024-04-17 15:13:49.815140,26.6,19.4,5643045376,59036669440
2024-04-17 15:13:50.851296,26.6,19.4,5643045376,59037173248
2024-04-17 15:13:51.886208,25.2,19.3,5643045376,59037173248
2024-04-17 15:13:52.932115,27.6,19.2,5643045376,59037226496
2024-04-17 15:13:53.968256,25.6,19.2,5643045376,59037226496
2024-04-17 15:13:55.003241,26.4,19.2,5643045376,59037472256
2024-04-17 15:13:56.044940,26.5,19.3,5643045376,59037472256
2024-04-17 15:13:57.078806,25.9,19.2,5643045376,59037472256
2024-04-17 15:13:58.129083,27.5,19.3,5643045376,59037521408
2024-04-17 15:13:59.162780,25.7,19.3,5643045376,59037521408
2024-04-17 15:14:00.201265,26.1,19.4,5643045376,59037521408
