,pgfaults,pgpgin,pgpgout,ctxt,softirq,mem_free,mem_total,swap_free,swap_total,read_bytes,write_bytes,flt
1,5975.0,0.0,0.0,69590.0,829.0,22984.0,0.0,0.0,0.0,0.0,3686400.0,0.0
1,2485.0,0.0,0.0,36223.0,530.0,6948.0,0.0,0.0,0.0,0.0,3792896.0,0.0
1,10643.0,0.0,139264.0,107816.0,2383.0,5512.0,0.0,0.0,0.0,0.0,3768320.0,0.0
1,7463.0,0.0,128.0,99219.0,924.0,4116.0,0.0,0.0,0.0,0.0,3784704.0,0.0
1,832.0,0.0,0.0,48179.0,251.0,4240.0,0.0,0.0,0.0,0.0,3784704.0,0.0
1,6310.0,0.0,0.0,75734.0,919.0,4804.0,0.0,0.0,0.0,0.0,3784704.0,0.0
1,6064.0,0.0,100.0,64099.0,852.0,9316.0,0.0,0.0,0.0,0.0,3792896.0,0.0
1,4042.0,0.0,92.0,52177.0,962.0,4796.0,0.0,0.0,0.0,0.0,3792896.0,0.0
1,6015.0,0.0,48.0,49849.0,994.0,1844.0,0.0,0.0,0.0,0.0,3784704.0,0.0
1,352.0,0.0,0.0,32850.0,285.0,4748.0,0.0,0.0,0.0,0.0,3801088.0,0.0
1,10139.0,0.0,664.0,66247.0,1344.0,5028.0,0.0,0.0,0.0,0.0,3796992.0,0.0
1,5553.0,0.0,108.0,54930.0,886.0,4304.0,0.0,0.0,0.0,0.0,3796992.0,0.0
1,4472.0,0.0,2472.0,63235.0,919.0,5752.0,0.0,0.0,0.0,0.0,3801088.0,0.0
1,3186.0,0.0,0.0,57972.0,572.0,3296.0,0.0,0.0,0.0,0.0,3801088.0,0.0
1,6795.0,0.0,0.0,71034.0,1169.0,1404.0,0.0,0.0,0.0,0.0,3796992.0,0.0
1,10281.0,0.0,169684.0,94513.0,3368.0,10600.0,0.0,0.0,0.0,0.0,3805184.0,0.0
1,3966.0,0.0,0.0,66022.0,662.0,1848.0,0.0,0.0,0.0,0.0,3805184.0,0.0
1,1621.0,0.0,0.0,35485.0,322.0,2036.0,0.0,0.0,0.0,0.0,3792896.0,0.0
1,2313.0,0.0,336.0,65404.0,696.0,1404.0,0.0,0.0,0.0,0.0,3792896.0,0.0
1,4665.0,0.0,0.0,47634.0,789.0,7252.0,0.0,0.0,0.0,0.0,3801088.0,0.0
1,1685.0,0.0,0.0,27419.0,375.0,5868.0,0.0,0.0,0.0,0.0,3805184.0,0.0
