,pgfaults,pgpgin,pgpgout,ctxt,softirq,mem_free,mem_total,swap_free,swap_total,read_bytes,write_bytes,flt
1,68.0,0.0,0.0,38.0,0.0,492.0,0.0,0.0,0.0,0.0,4096.0,0.0
1,74.0,0.0,0.0,25.0,0.0,504.0,0.0,0.0,0.0,0.0,4096.0,0.0
1,65.0,0.0,0.0,25.0,0.0,252.0,0.0,0.0,0.0,0.0,4096.0,0.0
1,74.0,0.0,0.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
1,76.0,0.0,0.0,27.0,8.0,504.0,0.0,0.0,0.0,0.0,4096.0,0.0
1,75.0,0.0,0.0,22.0,0.0,504.0,0.0,0.0,0.0,0.0,4096.0,0.0
1,74.0,0.0,0.0,25.0,0.0,252.0,0.0,0.0,0.0,0.0,4096.0,0.0
1,74.0,0.0,0.0,22.0,0.0,252.0,0.0,0.0,0.0,0.0,4096.0,0.0
1,75.0,0.0,0.0,25.0,7.0,252.0,0.0,0.0,0.0,0.0,4096.0,0.0
1,76.0,0.0,0.0,27.0,0.0,504.0,0.0,0.0,0.0,0.0,4096.0,0.0
1,236.0,0.0,0.0,192.0,1070.0,4772.0,0.0,0.0,0.0,0.0,692224.0,0.0
1,380.0,0.0,0.0,300.0,5758.0,21580.0,0.0,0.0,0.0,0.0,1380352.0,0.0
1,151.0,0.0,0.0,578.0,8371.0,20320.0,0.0,0.0,0.0,0.0,2076672.0,1.0
1,330.0,0.0,0.0,421.0,10499.0,29996.0,0.0,0.0,0.0,0.0,3026944.0,1.0
1,145.0,0.0,0.0,811.0,15437.0,33872.0,0.0,0.0,0.0,0.0,3866624.0,0.0
1,255.0,0.0,0.0,875.0,14046.0,55172.0,0.0,0.0,0.0,0.0,5300224.0,0.0
1,2312.0,0.0,0.0,1935.0,14533.0,50796.0,0.0,0.0,0.0,0.0,6066176.0,0.0
1,460.0,0.0,0.0,918.0,210.0,8564.0,0.0,0.0,0.0,0.0,6066176.0,0.0
